first_name,last_name,residence,phone_number,email,age,tariff_plan,contract_type,customer_type,income_level,contract_satisfaction,monthly_price,years_in_company,monthly_usage_hours,num_family_lines,churn_probability,churn_reason,recommended_retention_strategy
Olga,Castro,"Sevilla, España",+34 621942433,olga.castro@hotmail.com,45,Mobile - Basic,Monthly,Single,Low,Medium,17.28,5,187,1,Low,,
Martina,Martinez,"Málaga, España",+34 611015528,martina.martinez@hotmail.com,27,Mobile - Unlimited,Annual,Couple,Medium,High,42.33,8,76,4,Low,,
Veronica,Sanchez,"Valencia, España",+34 667826610,veronica.sanchez@hotmail.com,77,Fiber + TV + Mobile (Basic),Monthly,Single,Medium,High,52.82,9,267,2,Medium,,
Noelia,Moreno,"Zaragoza, España",+34 648830071,noelia.moreno@hotmail.com,37,Mobile - Unlimited,Annual,Single,Medium,High,45.87,4,259,4,Low,,
Valeria,Morales,"Zaragoza, España",+34 609827837,valeria.morales@hotmail.com,33,Fiber + TV + Mobile (Basic),Monthly,Couple,High,Medium,52.31,7,286,2,Medium,,
Estefania,Ortega,"Bilbao, España",+34 646035414,estefania.ortega@hotmail.com,28,Fiber + TV + Mobile (Basic),Monthly,Couple,High,High,59.32,6,125,2,Low,,
Fatima,Diaz,"Sevilla, España",+34 627566691,fatima.diaz@hotmail.com,47,Mobile - Basic,Annual,Family,Low,Low,11.72,1,126,1,High,Low Data Allowance,Upgrade to Better Plan
Pedro,Leon,"Bilbao, España",+34 696417401,pedro.leon@hotmail.com,30,Mobile - Standard,Monthly,Single,High,Medium,25.9,3,143,2,High,No Longer Needed,
Raquel,Reyes,"Valencia, España",+34 611213934,raquel.reyes@hotmail.com,51,Mobile - Standard,Monthly,Couple,Low,Low,25.53,5,90,2,High,Better Offers Elsewhere,
Lorena,Castillo,"Zaragoza, España",+34 644102328,lorena.castillo@hotmail.com,50,Fiber Only (Basic),Annual,Family,Medium,High,27.45,7,142,0,Low,,
Beatriz,Gil,"Madrid, España",+34 694106281,beatriz.gil@hotmail.com,68,Mobile - Standard,Annual,Couple,Low,Medium,21.61,7,200,2,High,Poor Service,
Rosa,Muñoz,"Málaga, España",+34 667232952,rosa.muñoz@hotmail.com,49,Mobile - Basic,Monthly,Single,High,Low,16.47,5,229,1,High,Low Data Allowance,Extra Data Package
Roberto,Vazquez,"Sevilla, España",+34 629148358,roberto.vazquez@hotmail.com,58,Mobile - Unlimited,Monthly,Couple,Low,High,43.06,6,223,4,Low,,
Marta,Lopez,"Sevilla, España",+34 659669261,marta.lopez@hotmail.com,25,Fiber + TV + Mobile (Basic),Annual,Family,Low,Medium,51.97,10,197,2,Low,,
Angela,Mendez,"Valencia, España",+34 679694494,angela.mendez@hotmail.com,39,Fiber Only (Basic),Annual,Family,Medium,High,21.65,6,234,0,Low,,
Violeta,Hernandez,"Valencia, España",+34 699342725,violeta.hernandez@hotmail.com,63,Mobile + Fiber (Standard),Annual,Couple,High,Low,51.05,1,280,3,Medium,,
Juan,Jimenez,"Barcelona, España",+34 612403786,juan.jimenez@hotmail.com,73,Fiber Only (Premium),Monthly,Couple,High,Low,46.72,4,182,0,High,Moving to Another Provider,
Joaquin,Perez,"Madrid, España",+34 692978943,joaquin.perez@hotmail.com,31,Fiber + TV,Monthly,Single,Low,High,34.21,8,241,0,Low,,
Tamara,Rodriguez,"Zaragoza, España",+34 674968858,tamara.rodriguez@hotmail.com,76,Mobile - Basic,Monthly,Single,Medium,Low,13.46,3,61,1,Medium,,
Camila,Iglesias,"Bilbao, España",+34 622466359,camila.iglesias@hotmail.com,26,Fiber + TV + Mobile (Unlimited),Monthly,Couple,Medium,Medium,98.0,4,211,6,Low,,
Francisco,Ruiz,"Sevilla, España",+34 626937770,francisco.ruiz@hotmail.com,23,Mobile - Unlimited,Monthly,Couple,High,High,48.49,10,221,4,Low,,
Pablo,Peña,"Madrid, España",+34 672355522,pablo.peña@hotmail.com,38,Mobile - Basic,Monthly,Couple,Low,High,16.56,10,125,1,Low,,
Celeste,Cano,"Zaragoza, España",+34 654815372,celeste.cano@hotmail.com,46,Fiber + TV + Mobile (Basic),Monthly,Single,Low,Medium,55.72,5,212,2,Low,,
Gabriel,Guerrero,"Bilbao, España",+34 673929303,gabriel.guerrero@hotmail.com,55,Mobile - Standard,Annual,Couple,High,High,27.5,6,231,2,Low,,
Nuria,Blanco,"Sevilla, España",+34 677662849,nuria.blanco@hotmail.com,20,Fiber + TV + Mobile (Basic),Annual,Family,High,High,54.81,4,151,2,Low,,
Sara,Serrano,"Bilbao, España",+34 609792773,sara.serrano@hotmail.com,18,Fiber + TV + Mobile (Basic),Annual,Family,High,Medium,58.75,2,278,2,Medium,,
Ruben,Martin,"Zaragoza, España",+34 697744361,ruben.martin@hotmail.com,22,Mobile - Unlimited,Annual,Family,High,High,48.04,9,183,4,Low,,
Ricardo,Gutierrez,"Zaragoza, España",+34 694686023,ricardo.gutierrez@hotmail.com,72,Mobile + Fiber (Standard),Monthly,Family,Medium,Low,55.42,1,75,3,High,Poor Service,
Laura,Cruz,"Málaga, España",+34 621284473,laura.cruz@hotmail.com,35,Fiber + TV + Mobile (Unlimited),Annual,Single,Medium,Medium,98.54,3,247,6,High,Better Offers Elsewhere,
Ana,Ortiz,"Madrid, España",+34 614253122,ana.ortiz@hotmail.com,76,Fiber Only (Basic),Monthly,Couple,High,High,21.81,8,208,0,Low,,
Fernando,Delgado,"Bilbao, España",+34 616726567,fernando.delgado@hotmail.com,76,Fiber Only (Premium),Annual,Family,Low,High,42.34,6,20,0,Low,,
Emilio,Navarro,"Madrid, España",+34 607969528,emilio.navarro@hotmail.com,37,Fiber Only (Premium),Annual,Single,Low,High,40.66,8,136,0,Low,,
Rocio,Gonzalez,"Valencia, España",+34 664597749,rocio.gonzalez@hotmail.com,33,Fiber + TV,Monthly,Family,Low,Medium,37.9,7,156,0,Low,,
Oscar,Aguilar,"Sevilla, España",+34 676944667,oscar.aguilar@hotmail.com,25,Mobile - Standard,Annual,Couple,Low,High,29.5,8,196,2,Low,,
Ariadna,Flores,"Málaga, España",+34 679171983,ariadna.flores@hotmail.com,71,Mobile + Fiber (Standard),Annual,Family,Low,Medium,55.15,4,205,3,Medium,,
Mario,Molina,"Valencia, España",+34 647273388,mario.molina@hotmail.com,38,Fiber + TV + Mobile (Unlimited),Annual,Single,Low,Medium,99.24,8,61,6,Low,,
Montserrat,Romero,"Madrid, España",+34 656434889,montserrat.romero@hotmail.com,70,Fiber Only (Premium),Monthly,Single,Low,Medium,41.66,9,243,0,Medium,,
Elena,Ramos,"Madrid, España",+34 698633012,elena.ramos@hotmail.com,78,Fiber + TV + Mobile (Unlimited),Monthly,Single,Medium,Medium,96.1,4,215,6,Low,,
Claudia,Torres,"Madrid, España",+34 677364578,claudia.torres@hotmail.com,32,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,Medium,55.8,3,139,2,Medium,,
Sofia,Vega,"Valencia, España",+34 622278139,sofia.vega@hotmail.com,47,Fiber Only (Basic),Monthly,Family,Low,Low,26.25,1,156,0,High,Low Data Allowance,Upgrade to Better Plan
Daniela,Alvarez,"Valencia, España",+34 613919144,daniela.alvarez@hotmail.com,53,Mobile + Fiber (Standard),Monthly,Family,Low,Medium,58.31,9,164,3,Medium,,
Carolina,Santos,"Sevilla, España",+34 699069612,carolina.santos@hotmail.com,74,Fiber + TV,Annual,Family,Low,Medium,38.96,6,287,0,Low,,
Victoria,Dominguez,"Málaga, España",+34 618692534,victoria.dominguez@hotmail.com,29,Mobile - Standard,Annual,Single,High,High,28.4,1,182,2,Low,,
Ismael,Ramirez,"Sevilla, España",+34 629137808,ismael.ramirez@hotmail.com,45,Fiber + TV + Mobile (Unlimited),Annual,Couple,Medium,High,91.38,7,75,6,Medium,,
Raul,Gomez,"Madrid, España",+34 602840698,raul.gomez@hotmail.com,60,Fiber Only (Basic),Annual,Couple,Medium,Low,26.01,1,90,0,Medium,,
Gabriela,Fernandez,"Sevilla, España",+34 688581683,gabriela.fernandez@hotmail.com,50,Fiber + TV,Annual,Family,Low,High,32.61,6,90,0,Low,,
Paula,Campos,"Madrid, España",+34 636030199,paula.campos@hotmail.com,78,Mobile - Unlimited,Annual,Couple,Medium,Medium,48.64,2,68,4,Medium,,
Irene,Marquez,"Zaragoza, España",+34 658385081,irene.marquez@hotmail.com,69,Fiber + TV + Mobile (Premium),Annual,Couple,Medium,High,73.7,1,288,4,Low,,
Mireia,Garcia,"Bilbao, España",+34 665167415,mireia.garcia@hotmail.com,48,Mobile - Basic,Monthly,Single,Medium,Low,11.26,2,287,1,High,Better Offers Elsewhere,
Isabel,Herrera,"Valencia, España",+34 610714223,isabel.herrera@hotmail.com,24,Fiber Only (Basic),Monthly,Single,Low,Low,23.18,1,179,0,High,No Longer Needed,
Natalia,Castro,"Zaragoza, España",+34 659520064,natalia.castro@hotmail.com,74,Mobile - Standard,Annual,Family,Low,Medium,23.55,6,115,2,High,Low Data Allowance,Upgrade to Better Plan
Manuel,Martinez,"Madrid, España",+34 614856531,manuel.martinez@hotmail.com,39,Fiber + TV + Mobile (Unlimited),Monthly,Couple,Medium,High,94.35,5,202,6,Low,,
Silvia,Sanchez,"Madrid, España",+34 693696172,silvia.sanchez@hotmail.com,42,Fiber + TV + Mobile (Unlimited),Monthly,Couple,Medium,Medium,90.77,7,70,6,Low,,
Marina,Moreno,"Valencia, España",+34 646859374,marina.moreno@hotmail.com,22,Fiber Only (Basic),Monthly,Family,Low,High,26.64,2,92,0,Low,,
Lucia,Morales,"Sevilla, España",+34 680137068,lucia.morales@hotmail.com,76,Fiber + TV + Mobile (Premium),Monthly,Family,Low,Medium,73.78,10,155,4,Low,,
Felipe,Ortega,"Zaragoza, España",+34 644795397,felipe.ortega@hotmail.com,36,Mobile - Standard,Monthly,Family,Low,Medium,25.13,1,74,2,Low,,
Esteban,Diaz,"Zaragoza, España",+34 600600885,esteban.diaz@hotmail.com,74,Mobile - Basic,Annual,Couple,Low,Medium,15.37,8,60,1,High,Poor Service,
Ignacio,Leon,"Madrid, España",+34 643730132,ignacio.leon@hotmail.com,36,Fiber + TV,Annual,Family,Low,High,33.46,9,221,0,Low,,
Antonio,Reyes,"Bilbao, España",+34 657526249,antonio.reyes@hotmail.com,57,Mobile - Unlimited,Annual,Single,Medium,High,48.36,6,132,4,Low,,
Sergio,Castillo,"Barcelona, España",+34 676029001,sergio.castillo@hotmail.com,66,Mobile - Unlimited,Annual,Couple,Medium,High,40.49,6,173,4,Low,,
Lucas,Gil,"Bilbao, España",+34 696159220,lucas.gil@hotmail.com,33,Fiber + TV,Annual,Couple,Medium,High,37.2,8,200,0,Low,,
Marisol,Muñoz,"Sevilla, España",+34 637635151,marisol.muñoz@hotmail.com,53,Mobile - Unlimited,Monthly,Couple,Low,High,48.69,6,190,4,Low,,
Diego,Vazquez,"Madrid, España",+34 602727320,diego.vazquez@hotmail.com,37,Fiber + TV + Mobile (Premium),Monthly,Single,Medium,Medium,77.93,10,43,4,Medium,,
Carla,Lopez,"Málaga, España",+34 632626418,carla.lopez@hotmail.com,66,Mobile - Basic,Monthly,Family,High,Medium,18.36,8,82,1,Medium,,
Florencia,Mendez,"Zaragoza, España",+34 654051006,florencia.mendez@hotmail.com,51,Fiber + TV + Mobile (Premium),Monthly,Family,High,Medium,74.66,1,107,4,Medium,,
Salvador,Hernandez,"Madrid, España",+34 679064589,salvador.hernandez@hotmail.com,53,Fiber + TV + Mobile (Basic),Annual,Single,Medium,High,54.49,9,188,2,Low,,
Victor,Jimenez,"Sevilla, España",+34 600810165,victor.jimenez@hotmail.com,77,Fiber Only (Premium),Annual,Single,Low,Medium,44.0,5,64,0,Low,,
Vanessa,Perez,"Sevilla, España",+34 671460974,vanessa.perez@hotmail.com,47,Fiber + TV + Mobile (Unlimited),Annual,Couple,High,High,91.08,10,221,6,Low,,
Clara,Rodriguez,"Madrid, España",+34 672650756,clara.rodriguez@hotmail.com,45,Mobile + Fiber (Standard),Monthly,Family,High,High,53.32,6,251,3,Low,,
Carmen,Iglesias,"Málaga, España",+34 675535744,carmen.iglesias@hotmail.com,31,Mobile - Standard,Monthly,Couple,Low,Medium,22.27,1,76,2,Low,,
Lidia,Ruiz,"Zaragoza, España",+34 635786586,lidia.ruiz@hotmail.com,24,Fiber Only (Basic),Annual,Family,Low,Medium,29.8,6,147,0,Low,,
Carlos,Peña,"Sevilla, España",+34 617848859,carlos.peña@hotmail.com,65,Fiber + TV + Mobile (Basic),Monthly,Family,Medium,High,50.76,10,110,2,Low,,
Cristina,Cano,"Barcelona, España",+34 645070356,cristina.cano@hotmail.com,20,Fiber + TV + Mobile (Basic),Annual,Family,Medium,High,58.01,6,170,2,Low,,
Diana,Guerrero,"Zaragoza, España",+34 664810630,diana.guerrero@hotmail.com,27,Mobile - Standard,Monthly,Couple,Medium,Low,28.06,4,274,2,High,No Longer Needed,
Sandra,Blanco,"Málaga, España",+34 676161694,sandra.blanco@hotmail.com,46,Fiber Only (Premium),Monthly,Single,Medium,Medium,49.78,10,45,0,Medium,,
Andres,Serrano,"Málaga, España",+34 637326532,andres.serrano@hotmail.com,31,Mobile - Basic,Annual,Single,Low,High,18.23,8,154,1,Low,,
Milagros,Martin,"Málaga, España",+34 606617949,milagros.martin@hotmail.com,71,Fiber Only (Basic),Annual,Couple,Low,Low,25.65,5,134,0,Medium,,
Adrian,Gutierrez,"Málaga, España",+34 601328454,adrian.gutierrez@hotmail.com,75,Fiber Only (Premium),Annual,Single,Low,High,47.57,10,114,0,Low,,
Matias,Cruz,"Málaga, España",+34 685626708,matias.cruz@hotmail.com,30,Fiber Only (Basic),Monthly,Family,Low,High,20.57,9,128,0,Low,,
Luis,Ortiz,"Bilbao, España",+34 631607509,luis.ortiz@hotmail.com,51,Mobile - Basic,Monthly,Couple,High,High,17.98,9,210,1,Low,,
Alberto,Delgado,"Sevilla, España",+34 697657811,alberto.delgado@hotmail.com,29,Mobile - Basic,Monthly,Couple,High,Low,12.9,3,47,1,High,High Price,
Eva,Navarro,"Málaga, España",+34 621954057,eva.navarro@hotmail.com,55,Mobile - Standard,Annual,Family,Low,Medium,28.94,3,178,2,Medium,,
Belen,Gonzalez,"Málaga, España",+34 669032084,belen.gonzalez@hotmail.com,55,Fiber + TV + Mobile (Premium),Monthly,Family,High,Medium,76.3,4,157,4,Low,,
Enrique,Aguilar,"Valencia, España",+34 604577704,enrique.aguilar@hotmail.com,40,Mobile - Unlimited,Monthly,Couple,Medium,Low,48.3,4,160,4,Medium,,
Emma,Flores,"Valencia, España",+34 698933165,emma.flores@hotmail.com,56,Fiber + TV,Annual,Couple,Medium,Low,32.68,2,168,0,High,Better Offers Elsewhere,
Patricia,Molina,"Málaga, España",+34 600029214,patricia.molina@hotmail.com,58,Fiber + TV + Mobile (Unlimited),Annual,Couple,Low,High,90.67,8,57,6,Low,,
Teresa,Romero,"Bilbao, España",+34 668187661,teresa.romero@hotmail.com,60,Fiber + TV + Mobile (Basic),Monthly,Couple,Low,Medium,59.48,3,94,2,Low,,
Daniel,Ramos,"Barcelona, España",+34 686348282,daniel.ramos@hotmail.com,40,Mobile - Basic,Annual,Single,Low,High,11.64,9,49,1,Low,,
Hugo,Torres,"Sevilla, España",+34 684958055,hugo.torres@hotmail.com,57,Fiber Only (Basic),Monthly,Single,Medium,Medium,23.48,7,222,0,Low,,
Andrea,Vega,"Málaga, España",+34 696307157,andrea.vega@hotmail.com,26,Mobile - Unlimited,Monthly,Family,High,High,47.35,7,196,4,Low,,
Maria,Alvarez,"Madrid, España",+34 654756673,maria.alvarez@hotmail.com,45,Fiber + TV + Mobile (Premium),Annual,Couple,High,Medium,74.79,7,65,4,Low,,
Miguel,Santos,"Sevilla, España",+34 685685217,miguel.santos@hotmail.com,52,Fiber + TV + Mobile (Unlimited),Monthly,Family,High,High,98.53,8,70,6,Low,,
Alejandro,Dominguez,"Sevilla, España",+34 662488620,alejandro.dominguez@hotmail.com,49,Mobile - Basic,Monthly,Single,High,High,19.58,5,160,1,Low,,
Alicia,Ramirez,"Zaragoza, España",+34 604037865,alicia.ramirez@hotmail.com,49,Fiber + TV + Mobile (Premium),Monthly,Single,Medium,Medium,71.58,2,125,4,Low,,
Julian,Gomez,"Sevilla, España",+34 687969956,julian.gomez@hotmail.com,62,Mobile - Unlimited,Monthly,Single,Low,High,43.86,7,299,4,Low,,
